Property Type,Client Type,Source,Address,City,List Price,Closed Price,List Date,Closing Date,Brokerage,Commission %,GCI,Referral %,Referral $,Adjusted GCI,Total Brokerage Fees,NCI,Status
"Residential","Seller","Expired","80821 Vista Lazo","La Quinta","1995000","1750000","2023-05-09","2023-07-21","Bennion Deville Homes","0.025","43750","0","0","43750","4111.5","36628.5","Closed"
"Residential","Seller","Farming","7 Victoria Falls","Rancho Mirage","950000","955500","2021-09-06","2021-10-04","Bennion Deville Homes","0.03","28665","0","0","28665","2693.51","23791.59","Closed"
"Residential","Seller","Farming","7 Yorkshire","Rancho Mirage","1100000","1100000","2021-11-08","2022-03-07","Bennion Deville Homes","0.025","27500","0","0","27500","2584","23035.5","Closed"
"Residential","Buyer","Farming","7 Yorkshire","Rancho Mirage","1100000","1100000","2021-11-08","2022-03-07","Bennion Deville Homes","0.025","27500","0","0","27500","2584","23035.5","Closed"
"Residential","Seller","SOI","46 Killian Way","Rancho Mirage","950000","890000","2020-06-25","2020-10-22","Bennion Deville Homes","0.03","26700","0","0","0","2508.8","22129.2","Closed"
"Residential","Seller","Farming","25 Calais","Rancho Mirage","800000","860000","2021-07-13","2021-09-14","Bennion Deville Homes","0.03","25800","0","0","25800","2424.2","21376.8","Closed"
"Residential","Seller","Farming","9 Cambridge Ct.","Rancho Mirage","999000","1000000","2021-04-06","2021-07-06","Bennion Deville Homes","0.025","25000","0","0","25000","2349","21141","Closed"
"Residential","Seller","Google","68541 San Jacinto Rd.","Cathedral City","855000","845000","2021-08-09","2021-11-18","Bennion Deville Homes","0.03","25350","0","0","25350","2381.9","20987.1","Closed"
"Residential","Seller","Farm","75805 Nelson Lane","Palm Desert","869000","830000","2023-07-13","2023-10-02","Bennion Deville Homes","0.03","24900","0","0","24900","2339.6","20456.4","Closed"
"Residential","Seller","Farming","78840 Via Carmel","La Quinta","809000","809000","2020-09-07","2020-11-30","Bennion Deville Homes","0.03","24270","0","0","0","2280.38","20098.42","Closed"
"Residential","Seller","Farming","32 Scarborough Way","Palm Desert","789000","810000","2020-06-19","2020-10-23","Bennion Deville Homes","0.03","24300","0","0","0","2283.2","20032.8","Closed"
"Residential","Seller","Farming","2 Normandy Way","Rancho Mirage","800000","800000","2019-11-19","2021-09-24","Bennion Deville Homes","0.03","24000","0","0","24000","2255","20007.5","Closed"
"Residential","Seller","Farming","2 King Edward","Rancho Mirage","895000","935000","2022-02-28","2022-04-04","Bennion Deville Homes","0.025","23375","0","0","23375","2196.25","19541.25","Closed"
"Residential","Seller","Farming","2 King Edward","Rancho Mirage","895000","935000","2022-02-28","2022-04-04","Bennion Deville Homes","0.025","23375","0","0","23375","2196.25","19541.25","Closed"
"Residential","Buyer","Farming","7 Macbeth","Rancho Mirage","779000","779000","2020-07-10","2020-09-09","Bennion Deville Homes","0.03","23370","0","0","0","2195.78","19312.02","Closed"
"Residential","Seller","Farming","5 King Edward","Rancho Mirage","875000","915000","2021-10-07","2021-11-01","Bennion Deville Homes","0.025","22875","0","0","22875","2149.25","18893.25","Closed"
"Residential","Seller","Repeat Client","4 Clear Lake","Rancho Mirage","875000","900000","2021-07-12","2021-09-14","Bennion Deville Homes","0.025","22500","0","0","22500","2114","18576","Closed"
"Residential","Seller","Farming","1 King Edward Ct.","Rancho Mirage","895000","900000","2021-04-04","2021-06-08","Bennion Deville Homes","0.025","22500","0","0","22500","2114","18576","Closed"
"Residential","Seller","Farming","8 Queens Ct.","Rancho Mirage","825000","815000","2019-12-08","2020-07-24","Bennion Deville Homes","0.0275","22412.5","0","0","0","2105.775","18501.975","Closed"
"Residential","Seller","Farming","2 Bristol Ct.","Rancho Mirage","799000","779000","2019-10-07","2019-11-25","Bennion Deville Homes","0.0275","21422.5","0","0","0","2012.715","17664.435","Closed"
"Residential","Seller","Farming","75975 Gill Court","Palm Desert","695000","698000","2019-01-03","2019-01-28","Bennion Deville Homes","0.03","20940","0","0","0","1967.36","17256.24","Closed"
"Residential","Buyer","Centers Of Influence","79782 Mission Drive East","La Quinta","879000","820000","2018-03-07","2018-03-07","Bennion Deville Homes","2.5","20500","0","0","20500","0","16883.8","Closed"
"Residential","Buyer","Sphere of Influence - 30% Split with DAVID GOLDBERG","49 Calle del Norte","Rancho Mirage","999900","1125000","2021-04-25","2021-06-24","Bennion Deville Homes","0.025","28125","0.3","8437.5","19687.5","1849.625","16191.625","Closed"
"Residential","Seller","Farming","41860 Ward Drive","Palm Desert","675000","652500","2019-02-12","2019-06-21","Bennion Deville Homes","0.03","19075","0","0","0","1792.05","15678.45","Closed"
"Residential","Seller","Community Outreach","73065 Skyward","Palm Desert","950000","787500","2019-12-03","2020-06-09","Bennion Deville Homes","0.0275","18656.25","0","0","0","1752.6875","15324.1875","Closed"
"Residential","Seller","Farming","75820 Sarazen Way","Palm Desert","607000","607000","2019-01-23","2019-07-09","Bennion Deville Homes","0.03","18210","0","0","0","1710.74","14946.66","Closed"
"Residential","Seller","Farming","65 Via Santo Tomas","Rancho Mirage","620000","600000","2020-07-20","2020-09-28","Bennion Deville Homes","0.03","18000","0","0","0","1691","14769","Closed"
"Residential","Seller","Farming","25 Calais","Rancho Mirage","800000","860000","2021-07-13","2021-09-14","Bennion Deville Homes","0.02","17200","0","0","17200","1615.8","14542.2","Closed"
"Residential","Seller","Farming","75770 Nelson Lane","Palm Desert","610000","560000","2019-02-27","2019-04-22","Bennion Deville Homes","0.03","16800","0","0","0","1578.2","14053.8","Closed"
"Residential","Buyer","Farm","75930 Sarazen Way","Palm Desert","670000","670000","","2019-04-04","Bennion Deville Homes","2.5","16750","0","0","16750","0","13795.3","Closed"
"Residential","Seller","Farming","32 Scarborough Way","Palm Desert","789000","810000","2020-06-19","2020-10-23","Bennion Deville Homes","0.02","16200","0","0","0","1521.8","13696.2","Closed"
"Residential","Seller","Centers Of Influence","2088 South Pebble Beach Drive","Palm Springs","675000","648375","2018-03-21","2018-03-21","Bennion Deville Homes","2.5","16209.38","0","0","16209.38","0","13350.04","Closed"
"Residential","Seller","Expireds","80662 Indian Springs Drive","Indio","554000","539900","2018-03-13","2018-03-13","Bennion Deville Homes","3","16197","0","0","16197","0","13339.85","Closed"
"Residential","Seller","Repeat Client","89 Shoreline Dr.","Rancho Mirage","650000","650000","2021-03-24","2021-09-27","Bennion Deville Homes","0.025","16250","0","0","16250","1526.5","13288.5","Closed"
"Residential","Seller","Farming","41660 Jones Drive","Palm Desert","659000","620000","2018-08-15","2018-08-15","Bennion Deville Homes","2.5","15500","0","0","15500","0","12765.8","Closed"
"Residential","Buyer","OpCity","9 Cambridge Ct.","Rancho Mirage","999000","1000000","2021-04-06","2021-07-06","Bennion Deville Homes","0.025","25000","0.38","9500","15500","1456","12663","Closed"
"Residential","Seller","Expireds","57108 Medinah","La Quinta","638000","600000","2019-08-07","2019-10-17","Bennion Deville Homes","0.025","15000","0","0","0","1409","12231","Closed"
"Residential","Buyer","Agent Referral","73407 Nettle Ct.","Palm Desert","760000","750000","2020-11-30","2021-05-03","Bennion Deville Homes","0.025","18750","0.25","4687.5","14062.5","1320.875","11437.875","Closed"
"Residential","Buyer","Zillow","78126 Calle Norte","La Quinta","549000","536000","2020-11-22","2021-01-07","Bennion Deville Homes","0.0275","14740","0","0","14740","1384.56","11336.04","Closed"
"Residential","Seller","Farming","79530 Vardon Way","Palm Desert","595000","596000","2018-10-27","2019-01-31","Bennion Deville Homes","0.03","17880","0.25","4470","0","1259.54","10885.86","Closed"
"Residential","Seller","Expireds","73 Princeton Dr","Rancho Mirage","590000","570000","2020-10-23","2021-02-18","Bennion Deville Homes","0.025","14250","0","0","14250","1338.5","10871.5","Closed"
"Residential","Buyer","Farming","39730 Regency Way","Palm Desert","525000","525000","2020-06-26","2020-09-30","Bennion Deville Homes","0.025","13125","0","0","0","1232.75","10644.75","Closed"
"Residential","Buyer","Op City","79320 Toronja","La Quinta","830000","840000","2021-02-12","2021-04-01","Bennion Deville Homes","0.025","21000","0.38","7980","13020","1222.88","10555.92","Closed"
"Residential","Buyer","Repeat Client","80559 Knightswood","Indio","428000","428000","2021-02-19","2021-04-15","Bennion Deville Homes","0.03","12840","0","0","12840","1205.96","10403.64","Closed"
"Residential","Seller","OpCity","56378 Palm Dr","La Quinta","650000","650000","2020-11-07","2021-02-01","Bennion Deville Homes","0.03","19500","0.35","6825","12675","1190.45","10339.05","Closed"
"Residential","Seller","Expireds","81300 Corte Compras","Indio","529000","490000","2018-10-19","2019-05-21","Bennion Deville Homes","0.025","12250","0","0","0","1150.5","10204.5","Closed"
"Residential","Seller","Expired","78960 Mimosa Dr.","Palm Desert","490000","490000","2022-10-17","2023-03-21","Bennion Deville Homes","0.025","12250","0","0","12250","1150.5","10054.5","Closed"
"Residential","Buyer","Expireds","81300 Corte Compras","Indio","529000","490000","2018-10-19","2019-05-21","Bennion Deville Homes","0.025","12250","0","0","0","1150.5","9954.5","Closed"
"Residential","Seller","Referral","76916 Coventry Circle","Palm Desert","599000","581000","2020-06-17","2020-12-17","Bennion Deville Homes","0.03","17430","0.3","5229","0","1145.894","9863.046","Closed"
"Residential","Seller","Repeat Client","40336 Pebble Beach Circle","Palm Desert","365000","398000","2022-03-31","2022-05-02","Bennion Deville Homes","0.03","11940","0","0","11940","1121.36","9642.24","Closed"
"Residential","Seller","Agent Referrals","79725 Amalfi Drive","La Quinta","539900","530000","2019-07-26","2019-09-09","Bennion Deville Homes","0.03","15900","0.25","3975","0","1119.95","9629.55","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","84644 Litorale Ct.","Indio","1030000","930000","2023-05-03","2023-05-22","Bennion Deville Homes","0.025","23250","0.5","11625","11625","1091.75","9525.75","Closed"
"Residential","Buyer","Farming","78960 Mimosa Dr","Palm Desert","489000","510000","2022-04-05","2022-05-05","Bennion Deville Homes","0.0225","11475","0","0","11475","1077.65","9248.85","Closed"
"Residential","Buyer","Past Clients","39608 Corte Chimborazo","Indio","475000","475000","2019-05-31","2019-07-12","Bennion Deville Homes","0.03","11250","0","0","0","1056.5","9058.5","Closed"
"Residential","Seller","Past Clients","37 Majorca Drive","Rancho Mirage","340000","335000","2018-06-27","2018-06-27","Bennion Deville Homes","3","10050","0","0","10050","0","8277.18","Closed"
"Residential","Seller","Farming","41560 Alligator Pond Road","Bermuda Dunes","385000","405000","2020-08-19","2020-11-25","Bennion Deville Homes","0.025","10125","0","0","0","950.75","8131.75","Closed"
"Residential","Buyer","OpCity &  10% Split with  Erik Kramer","81 Via Del Mercado","Rancho Mirage","599900","617000","2020-12-22","2021-02-18","Bennion Deville Homes","0.03","18510","0.4","7404","11106","1042.964","8042.11","Closed"
"Residential","Seller","Expireds","75752 Chrysanthemum Way","Palm Desert","330000","315000","2019-09-26","2020-03-02","Bennion Deville Homes","0.03","9450","0","0","0","887.3","7260.7","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","78015 Lago Dr","La Quinta","650000","706000","2022-05-10","2022-06-09","Bennion Deville Homes","0.025","17650","0.5","8825","8825","828.55","7181.95","Closed"
"Residential","Buyer","Expireds","328 Sundance Circle","Palm Desert","299000","280000","2020-05-22","2021-01-08","Bennion Deville Homes","0.03","8400","0","0","8400","788.6","7097.4","Closed"
"Residential","Seller","Split with Tuba Ozturk (Boomtown)","1063 Luzon Ct","National City","799000","805000","2023-03-16","2023-05-17","Bennion Deville Homes","0.02","16100","0.5","8050","8050","755.7","6688.8","Closed"
"Residential","Seller","Expireds","328 Sundance Circle","Palm Desert","299000","280000","2020-05-22","2021-01-15","Bennion Deville Homes","0.03","8400","0","0","0","788.6","6647.4","Closed"
"Residential","Buyer","Farming","75770 Nelson Lane","Palm Desert","610000","560000","2019-02-27","2019-04-22","Bennion Deville Homes","0.015","8400","0","0","0","788.6","6597.4","Closed"
"Residential","Seller","Expireds","328 Sundance Circle","Palm Desert","299000","280000","2020-05-22","2021-01-08","Bennion Deville Homes","0.03","8400","0","0","8400","788.6","6581.4","Closed"
"Residential","Seller","Referral","2 Normandy","Rancho Mirage","1490000","1400000","2022-07-07","2023-02-28","Bennion Deville Homes","0","0","0","0","0","0","6300","Closed"
"Residential","Buyer","Open House","49 Ponderosa Circle","Palm Desert","269000","250000","2019-10-28","2020-03-02","Bennion Deville Homes","0.03","7500","0","0","0","704","5886","Closed"
"Residential","Buyer","OpCity","120 Abrezzo Ct","Palm Desert","424900","400000","2020-01-17","2020-04-02","Bennion Deville Homes","0.025","12000","0.38","4560","0","698.36","5835.24","Closed"
"Residential","Seller","Agent Referrals","43915 VÃ­a Granada","Palm Desert","334900","329000","2019-07-01","2019-09-28","Bennion Deville Homes","0.03","9870","0.25","2467.5","0","694.835","5706.015","Closed"
"Residential","Seller","","67849 Rio Vista Dr","Cathedral City","485000","460000","2022-07-11","2022-10-19","Bennion Deville Homes","0.03","13800","0.5","6900","6900","647.6","5553.4","Closed"
"Residential","Buyer","Referral","5650 Sumner Way #103","Culver City","0","0","2020-08-17","2020-08-17","Bennion Deville Homes","0","0","0","5315.62","0","0","5315.62","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","76790 Oklahoma Ave","Palm Desert","528000","525000","2023-03-18","2023-04-13","Bennion Deville Homes","0.025","13125","0.5","6562.5","6562.5","615.875","5192.865","Closed"
"Residential","Buyer","Zillow - 50% Split with  ERIC KRAMER","73765 Fred Waring Dr.","Palm Desert","499000","505000","2021-02-15","2021-04-05","Bennion Deville Homes","0.025","12625","0.5","6312.5","6312.5","592.375","5106.375","Closed"
"Residential","Buyer","Zillow","40336 Pebble Beach","Palm Desert","209900","209000","2020-09-08","2020-10-08","Bennion Deville Homes","0.03","6270","0","0","0","588.38","4845.42","Closed"
"Residential","Buyer","OpCity","65466 Via Del Sol","DHS","329000","315000","2020-06-11","2020-07-29","Bennion Deville Homes","0.03","9450","0.38","3591","0","549.746","4497.714","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","43677 Via Majorca","Palm Desert","419000","443000","2022-01-08","2022-01-24","Bennion Deville Homes","0.025","11075","0.5","5537.5","5537.5","519.525","4450.725","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","70 Durango Circle","Rancho Mirage","525000","500000","2023-06-02","2023-07-05","Bennion Deville Homes","0.025","12500","0.5","6250","6250","586.5","4353.5","Closed"
"Residential","Buyer","Zillow - 50% Split with  JAMISON MOORE","56378 Palm Dr","La Quinta","650000","650000","2020-11-07","2021-02-01","Bennion Deville Homes","0.03","19500","0.75","14625","4875","457.25","4077.75","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","68931 Paseo Real","Cathedral City","375000","385000","2022-05-26","2022-07-11","Bennion Deville Homes","0.025","9625","0.5","4812.5","4812.5","451.375","3837.375","Closed"
"Residential","Seller","Split with Jennifer Murray","6048 Fairway Circle","Palm Springs","355000","315000","2021-09-30","2022-03-02","Bennion Deville Homes","0.035","11025","0.6","6615","4410","413.54","3541.86","Closed"
"Residential","Buyer","Internet Leads","41 Malaga Drive","Rancho Mirage","379900","347000","2018-08-08","2019-04-30","Bennion Deville Homes","0.0125","4337.5","0","0","0","406.725","3435.525","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","31020 Avenida Juarez","Cathedral City","449000","430000","2022-06-17","2022-11-09","Bennion Deville Homes","0.02","8600","0.5","4300","4300","403.2","3353.8","Closed"
"Residential","Buyer","Zillow - 70% split with DAVID GOLDBERG","37617 Hollister Dr.","Palm Desert","555000","562500","2021-05-30","2021-07-16","Bennion Deville Homes","0.025","14062.5","0.7","9843.75","4218.75","395.5625","3275.0625","Closed"
"Residential","Buyer","Split with Tuba Ozturk (Boomtown)","78049 Cobalt Ct","La Quinta","295000","275000","2023-02-22","2023-05-22","Bennion Deville Homes","0.025","6875","0.5","3437.5","3437.5","322.125","2599.115","Closed"
"Residential","Buyer","Zillow - 50% Split with  ERIC KRAMER","81564 Ave Viesca","Indio","300000","320000","2020-11-13","2021-01-21","Bennion Deville Homes","0.02","6400","0.5","3200","3200","299.8","2473.2","Closed"
"Residential","Buyer","Zillow - 70% split with DAVID GOLDBERG","43760 Milan Ct.","La Quinta","539000","530000","2021-05-21","2021-08-02","Bennion Deville Homes","0.02","10600","0.7","7420","3180","297.92","2231.28","Closed"
"Residential","Buyer","OpCity","14777 Palm Dr Unit 51","DHS","114900","114900","2020-05-15","2020-07-06","Bennion Deville Homes","0.025","2872.5","0.38","1091.55","0","166.4093","1047.6837","Closed"